,index,splCalMaxKcal,splMonth,splCalMaxMj,splYear,splCalMinMj,splCalCpnm,splCalMinKcal,splym
0,0,10303.573,01,43.139,2013,38.947,㈜경동도시가스,9302.427,2013-01
1,1,10290.914,01,43.086,2013,38.898,㈜대륜이엔에스,9290.613,2013-01
2,2,10296.169,01,43.108,2013,38.918,㈜부산도시가스,9295.517,2013-01
3,3,10295.691,01,43.106,2013,38.917,㈜삼천리,9295.071,2013-01
4,4,10284.704,01,43.06,2013,38.874,㈜예스코,9284.818,2013-01
5,5,10298.08,01,43.116,2013,38.926,㈜지에스이,9297.301,2013-01
6,6,10292.825,01,43.094,2013,38.905,㈜충남도시가스,9292.397,2013-01
7,7,10296.169,01,43.108,2013,38.918,㈜해양도시가스,9295.517,2013-01
8,8,10295.214,01,43.104,2013,38.915,강남도시가스㈜,9294.626,2013-01
9,9,10282.077,01,43.049,2013,38.863,강원도시가스㈜,9282.366,2013-01
10,10,10297.602,01,43.114,2013,38.924,경남에너지㈜(LNG + NG),9296.855,2013-01
11,11,10302.618,01,43.135,2013,38.944,"경북도시가스㈜
(LNG + NG)",9301.536,2013-01
12,12,10285.66,01,43.064,2013,38.877,"군산도시가스㈜
(LNG + NG)",9285.71,2013-01
13,13,10296.408,01,43.109,2013,38.919,대성에너지㈜,9295.74,2013-01
14,14,10292.347,01,43.092,2013,38.904,대화도시가스㈜,9291.95,2013-01
15,15,10300.468,01,43.126,2013,38.935,목포도시가스㈜,9299.529,2013-01
16,16,10299.99,01,43.124,2013,38.933,서라벌도시가스㈜,9299.083,2013-01
17,17,10291.392,01,43.088,2013,38.9,서울도시가스㈜,9291.059,2013-01
18,18,10284.943,01,43.061,2013,38.875,"서해도시가스㈜
(LNG + NG)",9285.041,2013-01
19,19,10294.497,01,43.101,2013,38.912,영남에너지서비스㈜ 구미,9293.957,2013-01
20,20,10298.796,01,43.119,2013,38.929,영남에너지서비스㈜ 포항,9297.969,2013-01
21,21,10295.214,01,43.104,2013,38.915,인천도시가스㈜,9294.626,2013-01
22,22,10294.258,01,43.1,2013,38.911,전남도시가스㈜,9293.734,2013-01
23,23,10293.064,01,43.095,2013,38.906,전북도시가스㈜,9292.62,2013-01
24,24,10290.437,01,43.084,2013,38.896,전북에너지서비스㈜,9290.168,2013-01
25,25,10292.109,01,43.091,2013,38.903,중부도시가스㈜,9291.728,2013-01
26,26,10375.943,01,43.442,2013,39.23,"참빛영동도시가스㈜
(LNG)",9369.966,2013-01
27,27,10288.287,01,43.075,2013,38.888,참빛원주도시가스㈜,9288.162,2013-01
28,28,10277.778,01,43.031,2013,38.847,참빛충북도시가스㈜,9278.354,2013-01
29,29,10290.437,01,43.084,2013,38.896,충청에너지서비스㈜,9290.168,2013-01
30,30,10284.465,01,43.059,2013,38.873,코원에너지서비스㈜,9284.595,2013-01
31,32,10313.366,02,43.18,2013,38.986,㈜경동도시가스,9311.566,2013-02
32,33,10285.182,02,43.062,2013,38.876,㈜대륜이엔에스,9285.264,2013-02
33,34,10307.395,02,43.155,2013,38.962,㈜부산도시가스,9305.994,2013-02
34,35,10282.077,02,43.049,2013,38.863,㈜삼천리,9282.366,2013-02
35,36,10276.584,02,43.026,2013,38.842,㈜예스코,9277.24,2013-02
