,index,splCalMaxKcal,splMonth,splCalMaxMj,splYear,splCalMinMj,splCalCpnm,splCalMinKcal,splym
0,31,10293.303,01,43.096,2013,38.907,합계,9292.843,2013-01
1,63,10289.547,02,43.08,2013,38.893,합계,9289.337,2013-02
2,95,10215.678,03,42.771,2013,38.604,합계,9220.4,2013-03
3,127,10238.607,04,42.867,2013,38.694,합계,9241.798,2013-04
4,159,10309.305,05,43.163,2013,38.97,합계,9307.776,2013-05
5,191,10292.586,06,43.093,2013,38.904,합계,9292.174,2013-06
6,223,10306.917,07,43.153,2013,38.96,합계,9305.548,2013-07
7,255,10303.334,08,43.138,2013,38.946,합계,9302.204,2013-08
8,287,10298.557,09,43.118,2013,38.928,합계,9297.746,2013-09
9,319,10318.143,10,43.2,2013,39.004,합계,9316.024,2013-10
10,382,10319.602,11,43.206,2013,39.01,합계,9317.386,2013-11
11,383,10319.602,11,43.206,2013,39.01,합계,9317.386,2013-11
12,416,10321.555,12,43.214,2013,39.018,합계,9319.209,2013-12
13,449,10308.475,01,43.16,2014,38.967,합계,9307.002,2014-01
14,482,10270.903,02,43.002,2014,38.82,합계,9271.938,2014-02
15,515,10225.289,03,42.811,2014,38.642,합계,9229.369,2014-03
16,548,10268.071,04,42.99,2014,38.809,합계,9269.295,2014-04
17,581,10263.368,05,42.971,2014,38.79,합계,9264.906,2014-05
18,614,10299.41,06,43.122,2014,38.931,합계,9298.542,2014-06
19,647,10326.502,07,43.235,2014,39.038,합계,9324.116,2014-07
20,680,10325.738,08,43.232,2014,39.034,합계,9323.112,2014-08
21,713,10345.397,09,43.314,2014,39.111,합계,9341.459,2014-09
22,746,10357.33,10,43.364,2014,39.157,합계,9352.595,2014-10
23,779,10335.173,11,43.271,2014,39.071,합계,9331.918,2014-11
24,812,10324.364,12,43.226,2014,39.029,합계,9321.83,2014-12
25,909,10322.596,01,43.219,2015,39.022,합계,9320.18,2015-01
26,911,10322.596,01,43.219,2015,39.022,합계,9320.18,2015-01
27,912,10200.153,01,42.706,2015,38.543,합계,9205.911,2015-01
28,945,10293.223,02,43.096,2015,38.907,합계,9292.768,2015-02
29,978,10291.434,03,43.088,2015,38.9,합계,9291.098,2015-03
30,1011,10290.913,04,43.086,2015,38.898,합계,9290.612,2015-04
31,1044,10289.128,05,43.079,2015,38.891,합계,9288.947,2015-05
